MP_15058_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Bacillus oceanisediminis;1386;539b7368-756a-44a5-8b32-6f29ee4545c6;2.231;+;Bacillus firmus;1399;676e7d08-9e7f-444e-b8d2-b296277d6f32;1.707;-;not reliable identification;E1;718f6b3e-d03e-4d11-bbf8-07d83a5c15e4;1.632;-;not reliable identification;E1;dda14e24-de4c-49b8-928c-865635b35944;1.43;-;not reliable identification;E1;2042fd5a-46ee-41fd-87cd-1631d073ca5f;1.41;-;not reliable identification;E1;112bb191-6b17-423a-854c-a128f650f887;1.399;-;not reliable identification;E1;fa84701f-2092-480c-be3c-9a58fc17e7ac;1.333;-;not reliable identification;E1;3227bc76-d39e-476b-9beb-e22f43c4e7d5;1.297;-;not reliable identification;E1;e64d079b-7efc-4dfe-97a4-8f0bbdca36cd;1.295;-;not reliable identification;E1;6bfdfee7-a2d2-43e9-bad6-a5bf9f4790b9;1.279;
MP_15059_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus hominis;145393;5e23b082-76aa-4165-b045-a5d492cfc0f4;2.251;++;Staphylococcus hominis;1290;605f3c45-5813-4f3b-a6b5-167657d17554;2.145;++;Staphylococcus hominis;1290;ea5a5ac9-9ac0-4140-9847-5ab41db0adcd;2.012;+;Staphylococcus hominis;1290;6dc4986b-ecd2-437c-8e4d-6d95b5336e8c;1.957;+;Staphylococcus hominis;145391;7b34c231-ee3b-4b58-bf7f-80de1314ce76;1.834;-;not reliable identification;E1;e42fa5b3-2a7d-46d6-b2e9-f55f49b91e95;1.695;-;not reliable identification;E1;cb25c9df-d4c9-4510-9627-ac25c9d32102;1.677;-;not reliable identification;E1;361808e4-83a8-45a7-9482-a3ab48717b0a;1.672;-;not reliable identification;E1;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.437;-;not reliable identification;E1;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;1.335;
MP_15060_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Bacillus litoralis;152268;d348e215-638e-4750-bf84-f66f616a7983;2.116;-;not reliable identification;E1;d43e54f3-2393-4d7c-9025-3b2341273164;1.527;-;not reliable identification;E1;50d64663-4c76-42a1-8c4e-b9c68aa424e8;1.358;-;not reliable identification;E1;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;1.236;-;not reliable identification;E1;402080c9-76b1-435b-9648-f6221f218258;1.203;-;not reliable identification;E1;a8de6ec7-856d-4306-b121-ce66003caf0b;02.jan;-;not reliable identification;E1;c0fd3b46-e5d0-4d80-bc64-a6f300c90069;02.jan;-;not reliable identification;E1;97a5a6c9-bba7-4549-bf29-106a7a6265cf;1.196;-;not reliable identification;E1;c5b8bd56-aaa8-49d9-be1a-ba07090d9f58;1.178;-;not reliable identification;E1;604a416d-cd99-45cb-b0b9-cc1f437f5eae;1.171;
MP_15061_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus epidermidis;1282;ca61ac93-70f3-4aba-a3cd-b69ba1df29c9;2.236;++;Staphylococcus epidermidis;1282;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;2.148;++;Staphylococcus epidermidis;1282;b487a1e3-895e-49ae-bc1c-e940757982cc;2.134;++;Staphylococcus epidermidis;1282;fc503196-43eb-4d43-ba09-406712713928;2.024;+;Staphylococcus epidermidis;1282;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.991;+;Staphylococcus epidermidis;1282;cf58e860-e8a8-42cb-9f41-cfea4536d54e;1.982;+;Staphylococcus epidermidis;1282;affdd5db-be8f-4ee6-b395-757b3b820a98;1.965;+;Staphylococcus epidermidis;1282;84f155e4-1600-46a5-afea-eafb27233290;1.861;+;Staphylococcus epidermidis;1282;d8f3d81b-5949-4fec-96db-056d2d22cab7;1.851;-;not reliable identification;E1;2f7eae59-d395-4226-8734-f0f113d9abe9;1.601;
MP_15062_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus capitis;72758;6e8c1752-3615-4167-bbc4-e2101bd745ec;2.243;++;Staphylococcus capitis;72758;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;2.202;++;Staphylococcus capitis;72758;cfe9f50c-c0f7-462e-b828-25b7156cf9e5;2.056;+;Staphylococcus capitis;74703;98f4ade2-6a6d-4696-946e-2bc0331c0c6a;1.933;+;Staphylococcus capitis;72758;7ff5c2d5-93f0-4f1b-b1e3-edc061f22e96;1.804;-;not reliable identification;E1;ae10ca58-4de5-4877-a03e-675f6b6826df;1.679;-;not reliable identification;E1;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.506;-;not reliable identification;E1;617a72b8-eefb-4c85-a9f1-e010ae7eeced;1.493;-;not reliable identification;E1;a117eb82-150b-4ff4-9168-bf5052681c4f;1.378;-;not reliable identification;E1;53f928f1-3e04-4514-9a55-275cd17cd83b;1.377;
MP_15063_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus warneri;1292;d153c9c7-bc52-494e-b576-994839c2cb65;2.108;++;Staphylococcus warneri;1292;e4c22d93-138e-48d5-820d-98751b855c0e;2.081;++;Staphylococcus warneri;1292;0203172b-1116-4ddc-8850-cb871f84be31;2.051;+;Staphylococcus warneri;1292;afd71a76-0e5f-4e4f-8a8a-c2b83501bf18;1.993;+;Staphylococcus warneri;1292;30e0768a-9e7f-4c3c-ad1f-471557c50943;1.98;-;not reliable identification;E1;c98e7b49-3671-46fa-b899-9b5482a17e0f;1.672;-;not reliable identification;E1;5f1cae44-63e1-4b28-a517-3b64d2c13af4;1.655;-;not reliable identification;E1;2369ba61-67d2-4b60-b553-f8392ced9fbb;1.568;-;not reliable identification;E1;c57e9940-b0d6-4b87-b577-ca47678f1780;1.567;-;not reliable identification;E1;5dd4fec7-cb0e-4c9d-b913-b9b76e5301ce;1.535;
MP_15064_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Micrococcus luteus;1270;8a9c776c-2313-4855-8887-5aff2ca98ff9;2.266;++;Micrococcus luteus;1270;70588a60-89e1-4f56-9f47-3c2ac3b9032d;2.174;++;Micrococcus luteus;1270;03baea4f-ab2e-41fa-b92c-57426f337467;2.164;++;Micrococcus luteus;1270;beec53ae-2e07-4400-8077-cd2fbf74766f;14.febr;++;Micrococcus luteus;1270;6ed61691-9887-4655-a4a7-2fbbc2bc9d05;2.122;++;Micrococcus luteus;1270;9e126652-4575-4da4-99b5-5f8495523218;2.122;++;Micrococcus luteus;1270;7e64b71c-e9cd-4869-8f9d-4fa2b2e86d5b;2.063;++;Micrococcus luteus;1270;a4ed63bb-50dc-409f-a34d-d85c8ca123be;2.031;+;Micrococcus luteus;1270;df205b83-8258-4046-aa99-d71c818c6628;1.949;+;Micrococcus luteus;1270;b8c350c2-ef58-45bd-bd2e-cb21c4978e0d;1.825;
MP_15065_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Bacillus thuringiensis;1428;77ad09b4-ec10-4f69-946c-cb7727c0bb6c;2.037;+;Bacillus cereus;1396;a03f0f48-ba49-4c76-a810-740ad67f1f81;1.913;+;Bacillus cereus;1396;22b513d5-b3ad-4ede-b9fb-716c741d3a85;1.879;+;Bacillus mycoides;1405;0a416a17-f38d-4a8c-84d2-694a529b211c;1.84;+;Bacillus cereus;1396;f18ef0ed-7b87-4d0f-979a-a42509761387;1.737;+;Bacillus weihenstephanensis;86662;0d62b03d-601e-44d1-ad73-8d0b319fcc87;1.722;-;not reliable identification;E1;1c03d81e-e133-485e-82a5-1a65cf1631d7;1.695;-;not reliable identification;E1;d650c164-4dab-46e5-8e53-e9d01c8feec6;1.589;-;not reliable identification;E1;14a73db5-426e-4c4d-b81a-eb12c6a7b635;1.473;-;not reliable identification;E1;987d33c5-61f6-4e0c-b331-87d2b905998b;1.453;
MP_15066_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus epidermidis;1282;ca61ac93-70f3-4aba-a3cd-b69ba1df29c9;2.165;++;Staphylococcus epidermidis;1282;affdd5db-be8f-4ee6-b395-757b3b820a98;2.123;++;Staphylococcus epidermidis;1282;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;2.121;+;Staphylococcus epidermidis;1282;b487a1e3-895e-49ae-bc1c-e940757982cc;1.97;+;Staphylococcus epidermidis;1282;fc503196-43eb-4d43-ba09-406712713928;09.jan;+;Staphylococcus epidermidis;1282;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.898;+;Staphylococcus epidermidis;1282;d8f3d81b-5949-4fec-96db-056d2d22cab7;1.86;+;Staphylococcus epidermidis;1282;2f7eae59-d395-4226-8734-f0f113d9abe9;1.751;+;Staphylococcus epidermidis;1282;cf58e860-e8a8-42cb-9f41-cfea4536d54e;1.726;-;not reliable identification;E1;84f155e4-1600-46a5-afea-eafb27233290;1.59;
MP_15067_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus hominis;145393;5e23b082-76aa-4165-b045-a5d492cfc0f4;2.268;++;Staphylococcus hominis;1290;605f3c45-5813-4f3b-a6b5-167657d17554;2.142;++;Staphylococcus hominis;1290;6dc4986b-ecd2-437c-8e4d-6d95b5336e8c;2.032;++;Staphylococcus hominis;1290;ea5a5ac9-9ac0-4140-9847-5ab41db0adcd;2.016;+;Staphylococcus hominis;145391;7b34c231-ee3b-4b58-bf7f-80de1314ce76;1.804;+;Staphylococcus hominis;1290;e42fa5b3-2a7d-46d6-b2e9-f55f49b91e95;1.742;+;Staphylococcus hominis;145391;cb25c9df-d4c9-4510-9627-ac25c9d32102;1.721;-;not reliable identification;E1;361808e4-83a8-45a7-9482-a3ab48717b0a;1.637;-;not reliable identification;E1;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;1.38;-;not reliable identification;E1;5aa41eec-633b-417e-8225-92891693d038;1.358;
MP_15068_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus capitis;72758;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;2.169;++;Staphylococcus capitis;72758;6e8c1752-3615-4167-bbc4-e2101bd745ec;2.167;++;Staphylococcus capitis;72758;cfe9f50c-c0f7-462e-b828-25b7156cf9e5;2.084;+;Staphylococcus capitis;72758;7ff5c2d5-93f0-4f1b-b1e3-edc061f22e96;1.804;+;Staphylococcus capitis;74703;98f4ade2-6a6d-4696-946e-2bc0331c0c6a;1.801;+;Staphylococcus capitis;72758;c9999c48-5bd3-4c37-ab54-ed25af902121;1.738;-;not reliable identification;E1;617a72b8-eefb-4c85-a9f1-e010ae7eeced;1.563;-;not reliable identification;E1;ae10ca58-4de5-4877-a03e-675f6b6826df;1.467;-;not reliable identification;E1;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.463;-;not reliable identification;E1;db509b12-8f40-4b4e-9e56-96300bf916f7;1.354;
MP_15069_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus hominis;145393;5e23b082-76aa-4165-b045-a5d492cfc0f4;2.207;++;Staphylococcus hominis;1290;605f3c45-5813-4f3b-a6b5-167657d17554;2.095;++;Staphylococcus hominis;1290;ea5a5ac9-9ac0-4140-9847-5ab41db0adcd;2.008;+;Staphylococcus hominis;1290;6dc4986b-ecd2-437c-8e4d-6d95b5336e8c;1.852;+;Staphylococcus hominis;145391;7b34c231-ee3b-4b58-bf7f-80de1314ce76;1.812;+;Staphylococcus hominis;145391;361808e4-83a8-45a7-9482-a3ab48717b0a;1.732;+;Staphylococcus hominis;145391;cb25c9df-d4c9-4510-9627-ac25c9d32102;1.712;-;not reliable identification;E1;e42fa5b3-2a7d-46d6-b2e9-f55f49b91e95;1.623;-;not reliable identification;E1;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.371;-;not reliable identification;E1;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;1.276;
MP_15070_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Staphylococcus capitis;72758;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;2.141;++;Staphylococcus capitis;72758;6e8c1752-3615-4167-bbc4-e2101bd745ec;2.124;+;Staphylococcus capitis;72758;cfe9f50c-c0f7-462e-b828-25b7156cf9e5;1.986;+;Staphylococcus capitis;72758;7ff5c2d5-93f0-4f1b-b1e3-edc061f22e96;1.857;+;Staphylococcus capitis;74703;98f4ade2-6a6d-4696-946e-2bc0331c0c6a;1.818;+;Staphylococcus capitis;72758;c9999c48-5bd3-4c37-ab54-ed25af902121;1.735;-;not reliable identification;E1;ae10ca58-4de5-4877-a03e-675f6b6826df;1.567;-;not reliable identification;E1;617a72b8-eefb-4c85-a9f1-e010ae7eeced;1.565;-;not reliable identification;E1;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.461;-;not reliable identification;E1;a117eb82-150b-4ff4-9168-bf5052681c4f;1.44;
MP_15071_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Micrococcus luteus;1270;03baea4f-ab2e-41fa-b92c-57426f337467;2.287;++;Micrococcus luteus;1270;8a9c776c-2313-4855-8887-5aff2ca98ff9;2.247;++;Micrococcus luteus;1270;beec53ae-2e07-4400-8077-cd2fbf74766f;21.febr;++;Micrococcus luteus;1270;70588a60-89e1-4f56-9f47-3c2ac3b9032d;2.185;++;Micrococcus luteus;1270;6ed61691-9887-4655-a4a7-2fbbc2bc9d05;2.135;++;Micrococcus luteus;1270;9e126652-4575-4da4-99b5-5f8495523218;01.febr;++;Micrococcus luteus;1270;7e64b71c-e9cd-4869-8f9d-4fa2b2e86d5b;08.febr;++;Micrococcus luteus;1270;df205b83-8258-4046-aa99-d71c818c6628;2.016;+;Micrococcus luteus;1270;a4ed63bb-50dc-409f-a34d-d85c8ca123be;1.846;+;Micrococcus luteus;1270;b8c350c2-ef58-45bd-bd2e-cb21c4978e0d;1.81;
MP_15072_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;++;Bacillus litoralis;152268;d348e215-638e-4750-bf84-f66f616a7983;2.116;-;not reliable identification;E1;d43e54f3-2393-4d7c-9025-3b2341273164;1.527;-;not reliable identification;E1;50d64663-4c76-42a1-8c4e-b9c68aa424e8;1.358;-;not reliable identification;E1;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;1.236;-;not reliable identification;E1;402080c9-76b1-435b-9648-f6221f218258;1.203;-;not reliable identification;E1;a8de6ec7-856d-4306-b121-ce66003caf0b;02.jan;-;not reliable identification;E1;c0fd3b46-e5d0-4d80-bc64-a6f300c90069;02.jan;-;not reliable identification;E1;97a5a6c9-bba7-4549-bf29-106a7a6265cf;1.196;-;not reliable identification;E1;c5b8bd56-aaa8-49d9-be1a-ba07090d9f58;1.178;-;not reliable identification;E1;604a416d-cd99-45cb-b0b9-cc1f437f5eae;1.171;
MP_15073_ID1011025858;L-492 - Szint III. 492. tisztatér_2020-07-29;+++;Alcaligenes faecalis;32001;97a5a6c9-bba7-4549-bf29-106a7a6265cf;2.481;+++;Alcaligenes faecalis;511;c80de256-f69c-4d05-b416-2ba5ca67b489;2.376;+++;Alcaligenes faecalis;232846;4193bc6f-f607-4356-82fe-0dc19af1b633;2.311;+++;Alcaligenes faecalis;32001;37787a29-d612-41f1-9050-588ca23779b7;2.31;+++;Alcaligenes faecalis;32001;2de3ae5a-0a94-4278-b5ef-57e7997a4407;2.235;+++;Alcaligenes faecalis;32001;75babe78-b9a4-4787-abec-bce78941d4c6;2.234;+++;Alcaligenes faecalis;32001;8ed858d5-beb9-4f7b-a55b-9ceb0b38cad2;2.225;+++;Alcaligenes faecalis;511;db7e83a7-b70c-4b0d-984f-ecae82f14e10;2.175;+++;Alcaligenes faecalis;32001;db920dd1-7052-404c-b0dc-a5010887ed42;2.134;+++;Alcaligenes faecalis;171260;69770af0-c008-4709-b50f-9c4470c27f07;2.019;
